# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
360.3,1.4079,2.851
360.85,1.4105,5.426
361.32,1.4127,5.954
361.77,1.4147,3.678
362.245,1.4173,3.586
362.725,1.4202,4.69
363.195,1.4227,7.725
363.665,1.4249,4.621
364.165,1.4269,4.276
364.665,1.4291,5.426
365.105,1.4312,6.115
365.545,1.4336,4.69
366.02,1.436,8.161
366.495,1.4382,4.345
366.965,1.441,6.299
367.435,1.4439,4.391
367.905,1.4462,5.724
368.375,1.4486,5.632
368.845,1.4512,4
369.315,1.4533,5.288
369.775,1.4554,3.701
370.245,1.4577,3.035
370.725,1.4599,6.115
371.195,1.4623,3.196
371.665,1.4648,4.989
372.135,1.4671,2.69
372.605,1.4691,4.138
373.075,1.4711,7.265
373.545,1.4732,4.345
374.015,1.4752,4.851
374.485,1.4773,3.724
374.955,1.4793,4
375.425,1.4814,3.724
375.91,1.4838,4.345
376.38,1.486,3.885
376.835,1.4881,4.207
377.3,1.4904,4.414
377.765,1.4924,3.862
378.235,1.4946,6.161
378.705,1.4969,3.127
379.175,1.499,5.265
379.645,1.5012,3.885
380.115,1.5034,4.069
380.585,1.5058,4.667
381.05,1.5083,5.747
381.515,1.5106,3.448
381.985,1.513,3.219
382.455,1.5152,4.598
382.925,1.5172,2.506
383.395,1.5193,5.747
383.86,1.5215,3.908
384.325,1.5238,5.196
384.78,1.5261,3.494
385.25,1.5283,4.529
385.75,1.531,3.288
386.215,1.5336,3.288
386.665,1.5356,4.874
387.135,1.5379,3.77
387.605,1.5402,2.966
387.92,1.5415,2.322
392.255,1.5629,5.403
392.755,1.565,3.288
393.22,1.5669,3.517
393.665,1.569,4.621
397.37,1.587,4.92
397.87,1.5892,3.816
398.335,1.5917,3.494
398.785,1.5943,4.782
399.25,1.5969,5.38
399.75,1.5994,5.104
400.215,1.6015,5.357
400.665,1.6036,3.678
401.13,1.6058,4.483
401.595,1.6085,3.402
402.06,1.6112,2.92
402.525,1.6133,5.77
402.99,1.6152,3.747
403.455,1.6173,3.954
403.92,1.6195,5.793
404.385,1.6216,3.747
404.85,1.6238,2.851
405.315,1.6264,7.38
405.775,1.6289,4.598
406.24,1.6312,3.931
406.71,1.6335,2.759
407.175,1.6355,8.851
407.64,1.6376,4.805
408.1,1.6401,4.069
408.565,1.6428,4.552
409.03,1.6453,2.713
409.495,1.6477,6.989
409.96,1.6501,3.357
410.42,1.6527,5.242
410.885,1.6552,6.046
411.35,1.6577,8.368
411.815,1.66,3.931
412.28,1.6621,2.759
412.755,1.6643,4.322
413.22,1.6665,5.862
413.67,1.6687,5.15
414.13,1.6709,2.414
414.595,1.673,4.391
415.06,1.6753,3.655
415.52,1.6775,5.678
415.985,1.6796,4.759
416.45,1.6822,3.379
416.91,1.6849,3.885
417.375,1.6873,4.322
417.84,1.6896,4.092
418.3,1.6918,4.161
418.765,1.6941,2.805
419.205,1.6966,4.414
419.69,1.6993,2.552
420.15,1.7017,4.644
420.61,1.7039,3.885
421.075,1.7061,5.035
421.54,1.7083,3.081
422,1.7107,4.874
422.46,1.7129,3.885
422.92,1.7152,3.196
423.385,1.7176,6.276
423.85,1.7199,4.253
424.31,1.7221,3.632
424.77,1.7243,5.196
425.23,1.7264,2.46
425.69,1.729,3.609
426.155,1.7317,5.265
426.62,1.7344,3.793
427.08,1.7371,3.104
427.54,1.7393,4.46
428,1.7412,4.207
428.46,1.7432,6.207
428.92,1.7454,4.644
429.385,1.7476,3.219
429.85,1.7503,4.943
430.31,1.753,2.989
430.77,1.7554,5.518
431.23,1.7577,4.897
431.69,1.7603,5.173
432.15,1.7628,3.931
432.61,1.7655,5.242
433.07,1.7681,4.759
